Booking_id,Date,"n.o of guests",check_in,check_out
1,2001-07-25,12,2009-01-25,2010-01-25
2,2012-07-25,14,2011-01-25,2012-01-25
3,2014-07-25,23,2013-01-25,2014-01-25
4,2018-07-25,45,2010-02-25,2012-02-25
5,2022-07-25,65,2013-02-25,2015-02-25
6,2010-08-25,68,2006-03-25,2007-03-25
7,2013-08-25,72,2010-03-25,2011-03-25
8,2016-08-25,78,2012-03-25,2014-03-25
9,2020-08-25,83,2016-03-25,2018-03-25
10,2022-08-25,86,2008-04-25,2010-04-25
11,2009-09-25,88,2011-04-25,2012-04-25
12,2014-02-25,90,2013-04-25,2014-04-25
13,2018-03-25,92,2016-04-25,0008-04-25
14,2021-04-25,95,2022-04-25,2024-04-25
15,2024-09-25,98,2008-05-25,2010-05-25
16,2010-05-25,102,2010-05-25,2012-05-25
17,2019-11-25,105,2011-05-25,2014-05-25
18,2012-10-25,110,2012-05-25,2013-05-25
19,2013-07-25,112,2018-05-25,2020-05-25
20,2012-02-25,115,2019-06-25,2022-06-25
